"Month/year","CPI % change over 12 months","CPI: rent % change over 12 months"
"Jan 2007","2.1","4.4"
"Feb 2007","2.4","4.5"
"Mar 2007","2.8","4.6"
"Apr 2007","2.6","4.5"
"May 2007","2.7","4.5"
"Jun 2007","2.7","4.3"
"Jul 2007","2.3","4.3"
"Aug 2007","1.9","4.1"
"Sep 2007","2.8","4"
"Oct 2007","3.6","4"
"Nov 2007","4.4","4"
"Dec 2007","4.1","3.9"
"Jan 2008","4.3","3.9"
"Feb 2008","4.1","3.7"
"Mar 2008","4","3.6"
"Apr 2008","3.9","3.6"
"May 2008","4.1","3.5"
"Jun 2008","4.9","3.7"
"Jul 2008","5.5","3.7"
"Aug 2008","5.3","3.8"
"Sep 2008","5","3.8"
"Oct 2008","3.7","3.7"
"Nov 2008","1.1","3.6"
"Dec 2008","0","3.4"
"Jan 2009","-0.1","3.4"
"Feb 2009","0","3.3"
"Mar 2009","-0.4","3.2"
"Apr 2009","-0.6","3.1"
"May 2009","-1","3"
"Jun 2009","-1.2","2.7"
"Jul 2009","-2","2.3"
"Aug 2009","-1.5","2"
"Sep 2009","-1.4","1.7"
"Oct 2009","-0.2","1.2"
"Nov 2009","1.9","0.9"
"Dec 2009","2.8","0.7"
"Jan 2010","2.6","0.5"
"Feb 2010","2.2","0.3"
"Mar 2010","2.3","0.2"
"Apr 2010","2.2","0.1"
"May 2010","2","-0.1"
"Jun 2010","1.1","0"
"Jul 2010","1.3","0"
"Aug 2010","1.2","0"
"Sep 2010","1.1","0.2"
"Oct 2010","1.2","0.3"
"Nov 2010","1.1","0.6"
"Dec 2010","1.4","0.8"
"Jan 2011","1.7","1"
"Feb 2011","2.1","1.1"
"Mar 2011","2.6","1.2"
"Apr 2011","3.1","1.3"
"May 2011","3.5","1.4"
"Jun 2011","3.5","1.5"
"Jul 2011","3.6","1.6"
"Aug 2011","3.8","2"
"Sep 2011","3.8","2.1"
"Oct 2011","3.5","2.4"
"Nov 2011","3.5","2.4"
"Dec 2011","3.1","2.5"
"Jan 2012","3","2.4"
"Feb 2012","2.9","2.5"
"Mar 2012","2.6","2.6"
"Apr 2012","2.3","2.7"
"May 2012","1.7","2.7"
"Jun 2012","1.7","2.7"
"Jul 2012","1.4","2.8"
"Aug 2012","1.7","2.6"
"Sep 2012","1.9","2.6"
"Oct 2012","2.2","2.7"
"Nov 2012","1.8","2.7"
"Dec 2012","1.8","2.7"
"Jan 2013","1.7","2.7"
"Feb 2013","2","2.7"
"Mar 2013","1.5","2.8"
"Apr 2013","1.1","2.7"
"May 2013","1.4","2.8"
"Jun 2013","1.7","2.9"
"Jul 2013","1.9","2.8"
"Aug 2013","1.5","3"
